Municipality,Year,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5,Indicator 6,Indicator 7,Indicator 8,Indicator 9,Indicator 10
Java,2018,63.3150439,12.75776129,68.29581886,85.03046779,81.03657725,26.37302823,37.29891213,77.69781612,46.79241534,0.85195335
Kareli,2018,76.82671863,79.12785194,80.74514383,27.8934864,50.12470776,63.51093833,41.93230696,55.20226045,81.00586611,51.98349528
Kaspi,2018,52.60806418,89.73167379,8.789993357,8.80702019,5.146409063,59.6346789,55.00988548,56.187888,41.46035821,42.67197458
Khashuri,2018,60.67815725,38.53789712,57.50072221,69.20183777,8.431367316,88.43747471,52.75599085,93.87511029,6.009861858,19.7554736
Tbilisi,2018,26.97054245,89.0285304,38.25475316,55.06400619,56.09466836,37.3459601,94.82913385,52.92959721,73.7314423,90.20249205
Gagra,2017,70.48879769,89.1637398,13.60213997,51.10640143,43.60403033,12.83873119,10.85576325,62.10694966,97.79525416,53.51810934
Gali,2017,75.86736541,58.23422436,24.88774563,96.93719746,27.80564468,69.85238655,97.07002399,49.57953888,64.4790208,63.68483672
Gudauta,2017,56.08316189,40.43676089,98.80408827,44.62540719,83.11014617,82.42282037,42.22747627,5.9060505,51.72828294,5.843157158
Gulripshi,2017,91.1879243,13.74185077,14.62396986,88.92763825,40.5254488,64.20619551,98.20746023,59.192239,2.485225653,39.45222562
Ochamchire,2017,44.47264867,93.8722911,82.20016144,12.20145388,77.76712739,10.76728907,53.58962343,72.69846395,32.55140073,53.5907049
Sokhumi,2017,25.17673577,80.27464604,18.25200874,32.10445955,39.01479381,43.54062991,1.399350086,79.80918934,82.18282162,30.64974551
Batumi,2017,30.0970662,41.12799668,70.39735834,68.9164738,13.57471652,92.79400678,36.10963339,3.621863112,49.41931367,35.73881058
Keda,2017,79.00963334,88.41893744,75.15802798,77.09438354,41.62281539,89.29728719,44.73295486,98.05144882,49.7011747,55.3564771
Khulo,2017,66.91295882,21.84140864,98.4040376,6.694346823,14.45752929,50.81762834,88.12611884,77.75286737,64.72527123,60.58848437
Kobuleti,2017,81.50498656,7.319340132,31.23816777,5.7349709,81.66732326,37.64662307,68.56927424,44.2110103,68.00008448,40.28431869
Shuakhevi,2017,8.006739234,27.73096974,69.58936514,90.70976543,26.08593121,63.20420688,60.64615618,73.30199526,16.12642645,39.36632142
Chokhatauri,2017,27.15341476,57.05529716,22.74632868,6.268112239,51.27723275,80.11698811,21.53379199,93.46668251,16.41010762,62.15954059
Lanchkhuti,2017,77.92463157,50.14807638,92.91691382,88.90602374,54.06112085,2.098034271,78.56112953,59.88557616,92.69996451,67.30437498
Ozurgeti,2017,46.07323725,51.40082264,68.34392789,92.42911433,74.50725598,20.42481458,9.253358282,41.56263474,18.45202052,7.294903556
Bagdati,2017,75.89697646,1.308532952,79.83596917,53.02831315,17.54640719,58.72561532,97.76023029,29.37797338,2.183417912,28.97245896
Chiatura,2017,27.28318803,45.89733101,42.14526029,81.82998912,55.68921265,47.02811041,12.18449595,3.159501271,30.56368947,70.83997198
Kharagauli,2017,16.57699379,42.31296798,88.29997476,5.994839254,11.66256136,60.20841194,31.52840769,66.5616757,88.22065359,47.97532109
Khoni,2017,61.30709774,35.72049703,73.19385862,78.67350865,19.42287983,57.13421605,39.39066144,96.90423733,13.43750375,5.409706702
Kutaisi,2017,25.30517647,24.59821652,62.59519078,2.949934746,3.12838107,5.818824691,36.05829941,23.88906496,57.50215848,10.15287014
Sachkhere,2017,23.81161622,57.10198956,60.93321022,0.244565017,58.86306628,71.70082336,74.76686696,15.54592065,91.32797037,3.808018791
Samtredia,2017,83.67462397,4.067905678,44.2579958,1.867348472,4.147603809,64.13160493,60.09270687,71.05626433,26.22882716,49.46842623
Terjola,2017,35.2844874,50.96055661,67.8450373,11.37302426,43.83604988,56.61482623,14.60910878,58.90397073,93.95939698,93.63001106
Tkibuli,2017,36.67360208,88.48953228,13.39100928,67.14601207,58.27366462,7.72839645,75.21288242,34.53024266,21.98205889,42.94646309
Tskaltubo,2017,5.866173462,35.81990547,45.97029917,78.73700829,5.228219817,9.687798565,26.60800277,13.88382177,69.66715691,73.39953746
Vani,2017,67.3266626,19.37970287,69.02636853,19.24403919,44.09749367,45.53280076,83.12426368,93.0837516,99.76735224,23.21733115
Zestaponi,2017,52.98047081,7.201811713,26.724613,63.44723091,76.86896648,90.33237357,64.838018,64.84224757,79.84046993,35.11827579
Akhmeta,2017,42.71273298,12.05547709,91.10424323,60.04890651,51.71769133,0.216093112,65.45276661,78.50006422,62.85121324,86.06999352
Dedoplis Tskaro,2017,44.36815382,41.7327311,61.46750519,0.354134068,91.5725147,21.41751904,89.53216603,93.36652038,39.86601441,96.59106437
Gurjaani,2017,54.26734841,21.98681105,15.19181638,37.13006725,33.79397222,61.3606762,97.97971219,20.7039627,33.10672056,80.25425035
Kvareli,2017,88.74823993,17.5400254,6.491830059,1.242839076,82.84957763,43.66723251,37.34405823,33.8412504,39.31445088,20.41428245
Lagodekhi,2017,36.87186931,10.11496896,89.69565543,1.500657611,18.57514414,59.36305367,57.91578789,25.0477305,66.45791016,27.19011451
Sagarejo,2017,27.37515174,12.96740202,51.9854319,63.2032999,6.129544967,96.62336368,79.50055719,66.80052371,45.66624582,12.08335633
Signagi,2017,16.60682652,60.30567088,88.81472678,73.40118494,77.53253518,18.47833135,56.58307178,59.64396294,18.78125991,72.17291522
Telavi,2017,49.02447349,82.55970461,95.02834039,95.31507268,72.59062785,31.40438455,74.46079803,95.46713765,81.04974295,13.45952095
Bolnisi,2017,70.45575983,20.45131111,50.85848033,36.17810261,41.00330964,21.35784798,28.82202213,58.67158349,55.73794852,65.67450407
Dmanisi,2017,23.24836282,22.61848526,24.5052248,76.77168607,12.48835908,66.5181422,45.85940294,37.92213673,19.95404513,22.37349867
Gardabani,2017,63.30962215,88.7084455,24.6241169,90.7866987,69.21535376,62.74332041,95.51103714,82.01553649,95.60960996,9.526713603
Marneuli,2017,71.12706081,73.34487352,74.73822621,63.80782061,96.45817951,55.0620863,88.87105212,65.78889175,5.802544454,0.970697671
Tetri Tskaro,2017,98.45980908,39.95672191,58.54362769,69.61054625,69.83919206,82.8794846,29.13373636,52.88184448,85.20231,40.64216837
Tsalka,2017,90.28234473,54.11432721,97.98216639,28.89350996,60.03891984,99.97365352,41.3839807,24.2505624,3.560467353,44.37280219
Akhalgori,2017,22.57818566,2.180570868,32.01136284,35.09439,62.1367579,72.65466674,91.63787851,16.37068184,14.74742125,47.60009269
Dusheti,2017,93.22403163,27.24035485,44.63769004,75.23679528,92.63244759,78.31010379,62.14871027,16.10405442,45.21620275,9.389689318
Kazbegi,2017,60.83421234,44.25303158,70.92959686,3.809722585,99.5395986,3.966704284,86.25236141,99.33703382,77.3765355,23.23256659
Mtskheta,2017,94.89594057,10.5727038,2.368105815,63.68897926,16.61544044,3.274741283,11.06749925,37.37184316,6.881519712,37.20927475
Tianeti,2017,46.10430517,28.72898072,32.05113427,0.076066534,0.890768446,79.08024742,83.9138899,37.25006295,9.25882575,1.361554611
Ambrolauri,2017,56.14302241,7.862052463,89.07386942,66.47927747,87.1164854,63.68545328,83.4008842,43.27588666,52.14651333,2.536039451
Lentekhi,2017,71.70851896,11.87274945,83.45527369,21.20380775,13.76228807,38.31612537,14.90504145,94.90126213,34.74345664,41.9135984
Oni,2017,83.42755578,47.22354232,36.196089,17.21861587,64.24549823,43.20239556,6.240859631,72.19391111,82.45575219,66.29196561
Tsageri,2017,73.08747763,21.68932751,48.68540221,4.546447233,60.09560733,8.769750563,37.39057026,63.13106087,12.65262956,45.78495509
Abasha,2017,98.85233886,71.65624462,54.25834647,63.32415652,53.67584933,1.446974159,67.5873701,84.57073016,16.0264267,39.15246759
Chkhorotsku,2017,78.14766625,62.83401018,83.35676057,11.33186922,65.98499597,27.53646908,54.72698263,99.77473926,86.60947477,97.00855447
Khobi,2017,45.39600689,11.95953176,82.09274311,22.30694617,50.89234468,71.60051487,78.08274502,12.2336581,96.8816794,73.57039653
Martvili,2017,83.67465621,78.98047772,27.25401174,53.09996216,83.89199643,32.73109647,64.36186555,73.87151458,85.05195897,7.408765713
Mestia,2017,76.9628399,14.37174127,15.62235146,29.80609404,87.85341778,97.38828867,46.87492673,46.67491793,75.97652848,2.97004625
Senaki,2017,98.80383781,51.9550431,48.56285471,80.84274501,14.05714093,88.29518864,39.09555871,62.2822107,34.88141745,22.7613383
Tsalenjikha,2017,63.56313167,11.31438926,97.57093049,82.0368097,18.52191728,67.54994527,82.93392354,60.1204624,14.65805614,10.99628427
Zugdidi,2017,92.58143728,90.53527871,34.70049916,3.471549875,9.607955525,80.28295149,3.02996505,64.01732824,17.47956041,3.438947244
Adigeni,2017,69.57484735,69.22681478,12.44067568,16.7658402,89.46317336,55.89627444,71.48428958,25.25790563,68.49171078,22.08924243
Akhalkalaki,2017,62.26637674,58.48708386,31.34759795,55.21170894,53.65466148,2.875952029,10.61307137,21.1293782,89.98974347,95.01628023
Akhaltsikhe,2017,18.51439005,45.44786511,49.07315445,94.74146656,9.388822055,8.026647624,22.82147001,49.24317372,15.25689675,98.77474955
Aspindza,2017,19.53692596,28.51386668,14.18788988,0.347993637,87.69240404,68.51631366,83.98855048,5.766008956,89.00747538,17.90347484
Borjomi,2017,42.7775846,67.3332752,99.30477223,36.59553699,6.210588031,4.001506819,0.332970475,73.31190993,27.89489304,33.85358115
Ninotsminda,2017,96.54609287,83.73183516,69.53957427,64.67702249,5.82499136,45.02115292,13.69063005,83.77395776,93.47690015,90.10070762
Gori,2017,96.59430759,60.01447923,18.31244087,37.36009272,16.77357752,65.75665145,33.6208606,76.18527309,24.67129407,76.64658292
Java,2017,53.02461192,17.58561674,32.70370394,72.6355992,96.44319869,73.78050397,39.70267769,41.36629376,10.92479297,11.22424193
Kareli,2017,59.67377939,5.248392258,26.29496541,55.44122578,32.98522369,43.97872668,33.91628713,19.00349191,6.212189676,0.621127876
Kaspi,2017,37.08210566,78.88801293,21.9920071,19.29194346,11.14120832,60.45998757,15.72361975,10.30122958,41.54719461,3.692825197
Khashuri,2017,94.98606505,92.36894348,74.78473768,84.93275302,32.47046914,27.69144509,53.3818224,85.26295674,92.32276091,59.69959674
Tbilisi,2017,56.80283869,47.24252156,23.73180912,47.90155931,9.105403491,63.4876725,97.4335821,56.10130893,85.1529899,35.96672169
Gagra,2016,24.62387136,34.95412791,78.5263822,1.029414078,9.804045924,61.62152209,21.41198274,0.406186508,32.65403693,35.36435175
Gali,2016,25.71771779,65.02067977,40.15082012,12.37954101,62.49801597,13.52470592,99.62162252,61.55168686,84.68590922,93.15048677
Gudauta,2016,58.38420548,75.51235343,52.60081149,11.07489868,4.3046292,3.503012158,17.63792414,9.123188754,56.92457929,21.21920641
Gulripshi,2016,47.69363711,29.97413098,1.525772959,29.0837415,64.0261736,28.77281235,98.48625355,84.86138325,31.11684888,11.98354303
Ochamchire,2016,54.35724819,95.98811515,51.6744643,22.24231972,68.2766189,35.61344474,62.51666268,43.4797617,1.114132225,9.241803129
Sokhumi,2016,59.84662536,36.04268671,68.90026019,80.00039656,55.89714398,75.34004339,69.49436452,90.43811507,72.02583388,84.70708772
Batumi,2016,79.0684999,49.55352431,98.94012725,29.29608859,64.56345422,78.50042709,89.6690722,89.80661599,19.75499458,22.52622665
Keda,2016,39.74724362,44.27308384,91.60378022,36.21480247,62.11389882,86.9575245,57.35752064,54.61821833,76.08638481,88.3075395
Khulo,2016,55.33730383,0.309293363,6.056245697,56.70546158,76.74597015,24.4576899,76.52969466,31.98172474,99.24641277,31.77979159
Kobuleti,2016,30.3504025,62.44656927,53.95525505,14.0065285,67.95190839,56.07151909,90.3731611,80.0178167,5.33932108,65.88197633
Shuakhevi,2016,38.52584725,11.21396749,27.28918048,97.34711608,43.24389962,47.93973735,41.86638611,46.06177872,49.76457197,15.94253333
Chokhatauri,2016,52.1101806,85.32639339,86.56825558,95.4023055,77.21628123,34.41495513,27.25731955,34.35533445,90.72902991,33.12704163
Lanchkhuti,2016,63.70528008,34.28976289,12.74117542,86.86518885,54.67228283,31.38558016,47.51885663,31.26106752,53.93044436,94.46457069
Ozurgeti,2016,99.81501563,32.03035948,36.29811866,60.42635771,42.74942934,68.12348709,79.30813507,41.63449131,30.05191567,0.449659375
Bagdati,2016,38.3377422,69.40307198,90.95113181,39.44271183,25.04412988,93.26714853,91.36385217,56.74902273,58.194695,51.87176217
Chiatura,2016,52.75331723,47.51077365,67.47057509,97.75404187,60.20330681,16.56160109,99.26532508,86.56226607,2.354183837,66.25857646
Kharagauli,2016,20.34284043,60.35745702,15.55070794,60.9954304,74.65859301,54.77264953,34.54300376,88.63161521,48.49969946,73.60008813
Khoni,2016,13.37678177,29.18496989,2.2939662,5.925089605,26.31172142,49.42854174,10.15087045,32.4196095,86.54017019,20.12760609
Kutaisi,2016,98.31719498,6.870048424,29.48494423,68.94270025,94.48834584,4.993711913,44.00395145,41.62445627,12.04709258,51.61478103
Sachkhere,2016,92.97273036,25.73504766,18.96317694,31.75481804,43.01154143,25.14837029,48.86089023,48.31712636,28.43517604,19.96415931
Samtredia,2016,15.14033046,37.69858383,24.52654609,13.63921273,85.72616408,22.11243082,31.29803543,41.23434053,50.72930147,47.06814429
Terjola,2016,72.07303441,39.21531114,91.84310362,30.2050335,47.07818966,31.71843303,32.22409205,18.57404602,91.02782681,49.25335214
Tkibuli,2016,29.84447681,48.01441098,56.93461986,59.042266,18.57087256,37.47888915,16.64537014,56.65180738,2.277047991,8.527444278
Tskaltubo,2016,28.22919577,18.76339412,50.52005858,78.70640491,91.58154322,60.08519612,67.28272572,65.34685659,26.64228427,12.71065108
Vani,2016,36.81125439,58.51109938,37.38262843,36.18551667,81.00413236,14.7993296,99.57108516,85.35729556,42.94801818,55.35919934
Zestaponi,2016,96.26579666,61.40203042,74.43189919,99.95760141,46.68467818,62.09557571,22.33609571,53.78004074,71.29692194,64.06645143
Akhmeta,2016,84.80793833,26.18467659,45.8513596,39.80704989,57.31425884,80.53935042,54.53223296,12.50813612,78.9304554,20.77879231
Dedoplis Tskaro,2016,81.7278825,25.59706117,32.14525642,80.73618413,60.77088975,25.90925629,26.59198134,14.11902908,48.65631478,81.9985999
Gurjaani,2016,52.87666953,3.76661702,71.39621431,89.77471822,24.73333479,0.589769677,17.72194922,86.76218128,95.73569798,32.32825146
Kvareli,2016,81.64730355,37.74110444,92.91236505,83.46911002,18.13758776,97.95214388,96.1920419,15.3077256,1.227682147,63.85070218
Lagodekhi,2016,60.07309446,62.0600235,89.92727319,58.13259682,37.52233008,35.18664625,8.250231135,46.72012431,83.65940509,2.619035695
Sagarejo,2016,93.58436443,24.07625736,2.738717379,99.52209918,13.47258544,81.31963455,51.70423505,55.29280939,1.402595769,38.50195683
Signagi,2016,91.46558838,4.914460629,35.87478722,4.122998038,77.3831585,64.93695784,8.878779556,42.08299385,19.09317508,65.89009727
Telavi,2016,11.68061891,7.662025589,98.9764107,57.21713182,47.51252952,41.72492515,45.41346418,42.08690049,26.71461378,98.99861732
Bolnisi,2016,40.82832292,74.53479869,25.36155559,74.70022939,67.12656225,78.62445934,86.66515344,92.00678411,40.43653767,66.41418413
Dmanisi,2016,94.56333906,93.99001447,9.827178122,62.12120461,21.08807824,34.36570917,79.1610179,89.01963922,66.56339024,39.91047475
Gardabani,2016,5.629599032,97.33289438,74.16740919,37.65066987,0.057669314,14.25502522,96.15177393,48.41717297,5.825106581,53.86206831
Marneuli,2016,40.87165545,18.87869859,15.88717904,81.10137631,20.30226166,52.67951235,39.09651496,85.12305675,17.89699466,37.85723617
Tetri Tskaro,2016,92.06850786,84.35761061,36.48502517,98.67905919,37.91570281,42.72971306,1.997031672,23.76503484,93.39120232,21.05114416
Tsalka,2016,58.00970321,62.92293895,93.57885831,44.42747386,84.58025973,13.04812763,78.74950204,29.55452842,7.596468778,57.46049697
Akhalgori,2016,88.16881585,35.07107353,55.84082589,57.62896519,45.37758101,63.99419665,65.46267736,28.63923165,79.46912412,32.69830674
Dusheti,2016,78.65859123,73.53894634,1.015552964,47.07538302,54.6440892,84.72574137,92.01067109,57.48363857,35.25967538,41.05340976
Kazbegi,2016,75.85655801,16.30955754,55.17946973,25.50757911,25.20509027,95.37108717,67.52456921,6.157544098,95.42297877,40.03029471
Mtskheta,2016,1.807047108,76.84514465,33.75754927,16.35959309,65.88889471,67.36334569,32.15204847,96.48299541,72.18018683,97.57835074
Tianeti,2016,51.22730459,7.616751035,28.85340386,88.64638149,86.35537402,98.98055406,93.58219844,63.5278215,69.99303194,91.25262824
Ambrolauri,2016,52.69380727,66.66985977,45.77230441,62.76774359,56.94194366,87.76250702,41.09817811,20.10884715,35.69065039,18.31947846
Lentekhi,2016,3.687442817,60.89439294,67.02473923,40.79022528,79.11099985,3.992634641,59.10094861,10.77864524,37.24652924,91.56809086
Oni,2016,47.03224619,31.54289811,85.13715734,19.04412482,50.03583315,93.90468132,95.00790346,77.7640455,57.10435806,47.35872396
Tsageri,2016,71.0134468,34.86530512,90.04131618,76.55670551,31.76753366,93.20573032,38.31418168,84.94192627,53.03664466,63.80930364
Abasha,2016,2.28326111,85.74987081,50.03219633,96.36187158,88.01229121,98.20278803,19.14972162,98.43394766,84.66575856,36.59682948
Chkhorotsku,2016,87.34951077,68.62517355,67.02942887,64.61597284,37.61931405,8.368638351,56.79903923,84.63756617,30.37991075,25.33429639
Khobi,2016,5.524796951,31.33894808,53.94526005,59.53343496,46.66536983,49.22724391,65.5019328,51.21822781,47.33493888,6.464392858
Martvili,2016,4.340740821,5.48223025,59.63937293,57.37442091,44.10231131,90.08452268,61.02456136,90.14380314,22.25924594,38.65450509
Mestia,2016,63.60327982,37.61972169,14.43585591,10.20091976,53.04285481,58.27516925,51.83007637,51.61410365,13.18148445,21.97389955
Senaki,2016,0.404354201,12.59108478,93.54758085,28.31271778,74.22747658,42.10525034,26.39732709,43.16085477,38.39003501,30.66318639
Tsalenjikha,2016,57.48492407,85.78205981,67.30209335,32.27066655,52.43055229,53.93416206,6.314366548,59.50756808,14.03372744,49.00864665
Zugdidi,2016,26.95747044,83.35837598,61.79485307,49.35375701,55.51460158,55.78103114,65.33567501,6.083450402,45.44665042,77.51586787
Adigeni,2016,16.33596193,70.78955852,78.70144749,28.95945584,45.76111491,92.55062753,83.41889902,16.18584233,74.81220503,82.1702016
Akhalkalaki,2016,27.17714224,81.61424419,88.80832629,77.17571449,45.43376967,96.92976498,57.50244944,60.20060747,62.86013342,38.44864021
Akhaltsikhe,2016,6.748711367,26.17515865,22.6383871,6.785427942,72.23743505,73.57103811,75.69969618,16.32524765,21.77102323,14.67187261
Aspindza,2016,44.12815158,69.23356564,53.51994854,14.19481672,40.88471006,68.47094858,83.81549652,31.46370367,92.60317265,9.25377633
